Track2,Track5,Track8,Track9,Track10,Track13,Track16,TrackPosition,AngleToTrackAxis,Speed,SpeedY,DistanceFromStart,Accelerate,Brake,Steering,Gear
7.82722,11.4896,39.8054,200.0,21.1142,5.65331,3.88989,-0.333363,0.0089286,3.04208E-4,0.00128985,5759.1,0.0,0.0,0.0,1
7.82722,11.4896,39.8054,200.0,21.1142,5.65331,3.88989,-0.333363,0.0089286,3.04208E-4,0.00128985,5759.1,0.0,0.0,0.0,1
7.82722,11.4896,39.8054,200.0,21.1142,5.65331,3.88989,-0.333363,0.0089286,3.04208E-4,0.00128985,5759.1,0.0,0.0,0.0,1
7.82722,11.4896,39.8054,200.0,21.1142,5.65331,3.88989,-0.333363,0.0089286,3.04208E-4,0.00128985,5759.1,0.0,0.0,0.0,1
7.82722,11.4896,39.8054,200.0,21.1142,5.65331,3.88989,-0.333363,0.0089286,3.04208E-4,0.00128985,5759.1,1.0,0.0,0.0,1
7.82722,11.4896,39.8054,200.0,21.1142,5.65331,3.88989,-0.333363,0.0089286,3.04208E-4,0.00128985,5759.1,1.0,0.0,0.0,1
7.82722,11.4896,39.8054,200.0,21.1142,5.65331,3.88989,-0.333363,0.0089286,3.04208E-4,0.00128985,5759.1,1.0,0.0,0.0,1
7.8307,11.5046,40.0235,200.0,20.972,5.64608,3.88818,-0.333385,0.0100244,0.17457,-0.0521376,5759.1,1.0,0.0,0.0,1
7.83248,11.5073,40.0349,200.0,20.9622,5.64352,3.88672,-0.333651,0.0100492,2.23333,-0.0056486,5759.15,1.0,0.0,0.0,1
7.83625,11.5119,40.0263,200.0,20.96,5.63818,3.88245,-0.334406,0.0099414,5.00397,5.33803E-5,5759.31,1.0,0.0,0.0,1
7.83552,11.5084,39.9726,200.0,21.0038,5.64005,3.88301,-0.334362,0.00974256,7.79491,1.46159E-4,5759.6,1.0,0.0,0.0,1
7.83893,11.5107,39.9281,200.0,21.0363,5.63538,3.87912,-0.335072,0.00950128,10.7113,0.00111573,5760.01,1.0,0.0,0.0,1
7.84634,11.5171,39.875,200.0,21.07,5.62585,3.8712,-0.336537,0.00914222,13.8109,-2.79344E-6,5760.55,1.0,0.0,0.0,1
7.84864,11.5149,39.7776,200.0,21.1595,5.62376,3.86816,-0.33718,0.00867731,17.1324,-2.71038E-4,5761.25,1.0,0.0,0.0,1
7.85489,11.5168,39.6797,200.0,21.2617,5.61647,3.86096,-0.338512,0.00809271,20.814,-1.63462E-4,5762.1,1.0,0.0,0.0,1
7.86148,11.5177,39.562,200.0,21.4062,5.60873,3.85306,-0.340044,0.00739128,25.2736,1.54751E-4,5763.12,1.0,0.0,0.0,1
7.86798,11.5159,39.4168,200.0,21.5965,5.60191,3.84521,-0.341597,0.0064767,30.6283,-1.4818E-5,5764.36,1.0,0.0,0.0,1
7.87319,11.5086,39.2313,200.0,21.8354,5.59762,3.83822,-0.343106,0.00530607,36.5079,-2.49489E-4,5765.86,1.0,0.0,0.0,2
7.87615,11.4956,39.0326,200.0,22.0933,5.59732,3.83296,-0.344327,0.00391514,36.7854,-3.32954E-5,5767.49,1.0,0.0,0.0,2
7.8783,11.4775,38.8255,200.0,22.3628,5.59884,3.82819,-0.345548,0.00230962,39.807,-2.43744E-5,5769.28,1.0,0.0,0.0,2
7.87705,11.4523,38.623,200.0,22.6267,5.60618,3.8265,-0.346258,5.96825E-4,42.7823,-5.68556E-5,5771.05,1.0,0.0,0.0,2
7.86738,11.4087,38.3868,200.0,22.9352,5.62726,3.83282,-0.345692,-0.00151127,45.9393,2.15338E-5,5772.95,1.0,0.0,0.0,2
7.8547,11.3522,38.1502,200.0,23.2436,5.65491,3.84149,-0.34486,-0.00405329,49.2737,5.28791E-5,5774.99,1.0,0.0,0.0,2
7.83241,11.2763,37.8929,200.0,23.5793,5.70058,3.85889,-0.342718,-0.00721329,52.796,-1.93582E-5,5777.18,1.0,0.0,0.0,2
7.79558,11.1919,37.6096,200.0,23.9491,5.77524,3.88962,-0.338595,-0.0113255,56.516,-4.53261E-5,5779.52,1.0,0.0,0.0,2
7.74342,11.1077,37.3265,200.0,24.3182,5.86431,3.93402,-0.332692,-0.0171005,60.4102,2.08325E-5,5782.04,1.0,0.0,0.0,2
7.71283,11.0613,37.1302,200.0,24.5516,5.91169,3.96421,-0.328702,-0.0235775,64.4739,4.20165E-5,0.767212,1.0,0.0,0.0,2
7.64338,10.9617,36.7959,200.0,24.9892,6.01704,4.03485,-0.316739,-0.0235779,68.7152,-2.82004E-5,3.61639,1.0,0.0,0.0,2
7.56673,10.8518,36.427,200.0,25.472,6.13333,4.11284,-0.303533,-0.023577,73.1106,-5.27383E-5,6.64978,1.0,0.0,0.0,2
7.47603,10.7217,35.9903,200.0,26.0435,6.27093,4.20511,-0.287908,-0.023577,78.2881,-5.79036E-5,10.3504,1.0,0.0,0.0,3
7.39651,10.6071,35.5969,200.0,26.5547,6.39184,4.28595,-0.274237,-0.023641,79.0038,-8.47452E-4,13.7289,1.0,0.0,0.0,3
7.30902,10.4816,35.1755,200.0,27.1065,6.52458,4.37495,-0.259166,-0.0236433,81.3023,-1.48456E-4,17.149,1.0,0.0,0.0,3
7.21975,10.3536,34.746,200.0,27.6691,6.66003,4.46578,-0.243786,-0.0236422,84.1312,-9.44454E-5,20.6866,1.0,0.0,0.0,3
7.13047,10.2256,34.3164,200.0,28.2317,6.79549,4.55661,-0.228405,-0.0236418,87.0203,-1.64808E-5,24.3469,1.0,0.0,0.0,3
7.03552,10.0894,33.8594,200.0,28.8304,6.93956,4.65321,-0.212047,-0.0236426,89.9675,1.06323E-5,28.1321,1.0,0.0,0.0,3
6.93631,9.94716,33.3819,200.0,29.4558,7.09007,4.75413,-0.194957,-0.0236429,92.9739,-7.4365E-5,32.0446,1.0,0.0,0.0,3
6.83712,9.80491,32.9046,200.0,30.0809,7.24057,4.85505,-0.177868,-0.023642,96.0392,-1.09928E-4,36.0869,1.0,0.0,0.0,3
6.73289,9.65545,32.4031,200.0,30.7378,7.3987,4.96109,-0.159912,-0.0236415,99.1477,-2.78971E-5,40.2612,1.0,0.0,0.0,3
6.62377,9.49895,31.8778,200.0,31.4257,7.56427,5.0721,-0.141113,-0.0236423,102.293,3.72582E-6,44.5694,1.0,0.0,0.0,3
6.51465,9.34246,31.3526,200.0,32.1136,7.72984,5.18312,-0.122314,-0.0236425,105.477,-8.26583E-5,49.0128,1.0,0.0,0.0,3
6.39986,9.17786,30.8003,200.0,32.837,7.90399,5.2999,-0.102539,-0.0236416,108.697,-1.125E-4,53.5933,1.0,0.0,0.0,3
6.28085,9.00727,30.2293,200.0,33.5846,8.08448,5.42098,-0.0820313,-0.0236291,109.566,4.18745E-4,58.2769,1.0,0.0,0.0,4
6.16181,8.83657,29.6566,200.0,34.3346,8.26507,5.54209,-0.0615234,-0.0236277,110.954,1.5676E-4,62.9816,1.0,0.0,0.0,4
6.04277,8.66585,29.0836,200.0,35.0849,8.44569,5.66319,-0.0410156,-0.023628,113.106,-4.82244E-5,67.7731,1.0,0.0,0.0,4
5.92373,8.49514,28.5108,200.0,35.835,8.62629,5.7843,-0.0205078,-0.0236272,115.28,-8.23072E-5,72.6572,1.0,0.0,0.0,4
5.79915,8.31649,27.9112,200.0,36.6201,8.8153,5.91104,9.54368E-4,-0.0236268,117.473,1.82583E-5,77.6347,1.0,0.0,0.0,4
5.67018,8.13154,27.2904,200.0,37.4331,9.01097,6.04224,0.0231712,-0.0236275,119.685,6.42665E-5,82.7064,1.0,0.0,0.0,4
5.54122,7.94659,26.6697,200.0,38.246,9.20663,6.17344,0.045388,-0.0236279,121.916,-1.23018E-5,87.8731,1.0,0.0,0.0,4
5.41226,7.76166,26.0491,200.0,39.0586,9.40229,6.30464,0.0676048,-0.0236271,124.161,-2.31272E-5,93.1355,1.0,0.0,0.0,4
5.27943,7.57117,25.4098,200.0,39.8958,9.60381,6.43977,0.0904874,-0.023627,126.416,7.54642E-5,98.4941,1.0,0.0,0.0,4
5.14055,7.372,24.7413,200.0,40.7713,9.81453,6.58106,0.114413,-0.0236278,128.677,1.49124E-4,103.949,1.0,0.0,0.0,4
5.00167,7.17283,24.0728,200.0,41.6468,10.0252,6.72236,0.138339,-0.0236282,130.946,8.31389E-5,109.501,1.0,0.0,0.0,4
4.86279,6.97366,23.4044,195.023,42.522,10.236,6.86365,0.162265,-0.0236279,133.223,6.4821E-5,115.151,1.0,0.0,0.0,4
4.72094,6.77024,22.7217,189.335,43.416,10.4512,7.00795,0.186701,-0.0236278,135.504,2.09371E-4,120.898,1.0,0.0,0.0,4
4.57214,6.55684,22.0054,183.357,44.3542,10.6769,7.15934,0.212336,-0.0236291,137.794,2.70478E-4,126.742,1.0,0.0,0.0,4
4.42334,6.34344,21.2892,177.385,45.2923,10.9027,7.31073,0.237971,-0.0236297,140.086,2.26436E-4,132.685,1.0,0.0,0.0,4
4.27454,6.13005,20.573,171.417,46.2302,11.1285,7.46211,0.263605,-0.0236298,142.386,2.08725E-4,138.725,1.0,0.0,0.0,4
4.12329,5.91314,19.845,165.349,47.1836,11.358,7.61598,0.289662,-0.0236301,144.689,3.63436E-4,144.864,1.0,0.0,0.0,4
3.95425,5.67073,19.0313,158.558,48.2495,11.6144,7.78795,0.318781,-0.0236321,147.149,3.37399E-4,151.511,1.0,0.0,0.0,4
3.78935,5.43423,18.2375,151.939,49.2893,11.8647,7.95572,0.34719,-0.0236332,149.547,3.58695E-4,158.103,1.0,0.0,0.0,4
3.62444,5.19774,17.4438,145.32,50.329,12.1149,8.12349,0.375599,-0.0236341,151.938,4.10768E-4,164.801,1.0,0.0,0.0,5
3.45947,4.96091,16.6451,138.355,51.3888,12.366,8.29146,0.404008,-0.0236946,151.483,-0.00186596,171.544,1.0,0.0,0.0,5
3.29417,4.72385,15.8493,131.709,52.4333,12.6169,8.45964,0.432484,-0.0237009,153.037,6.81604E-6,178.309,1.0,0.0,0.0,5
3.11896,4.4726,15.0063,124.701,53.5383,12.8828,8.6379,0.462669,-0.0237015,154.658,5.11191E-4,185.145,1.0,0.0,0.0,5
2.94375,4.22134,14.1632,117.69,54.6436,13.1487,8.81616,0.492853,-0.0237028,156.275,5.88091E-4,192.053,1.0,0.0,0.0,5
2.76854,3.97009,13.3202,110.677,55.7491,13.4145,8.99443,0.523038,-0.0237043,157.89,6.13432E-4,199.033,1.0,0.0,0.0,5
2.59333,3.71883,12.4771,103.666,56.8546,13.6804,9.17269,0.553223,-0.023706,159.503,6.35046E-4,206.084,1.0,0.0,0.0,5
2.41812,3.46758,11.634,96.6549,57.9602,13.9463,9.35096,0.583407,-0.0237078,161.112,6.53742E-4,213.208,1.0,0.0,0.0,5
2.23931,3.21115,10.7736,89.5007,59.0885,14.2177,9.53289,0.614213,-0.0237096,162.719,6.75821E-4,220.402,1.0,0.0,0.0,5
2.05379,2.94512,9.88099,82.0797,60.2591,14.4992,9.72164,0.646174,-0.0237114,164.323,7.00283E-4,227.668,1.0,0.0,0.0,5
1.96277,2.89323,11.2143,200.0,49.9548,14.0882,9.71576,0.665882,0.00992431,165.746,2.08419,235.003,1.0,0.0,0.0,5
2.00266,2.95501,11.5202,200.0,49.4381,14.0124,9.67297,0.659246,0.0111234,167.345,0.328324,242.405,1.0,0.0,0.0,5
2.08311,3.07189,11.9351,200.0,49.2125,13.9075,9.595,0.645463,0.0104171,168.943,0.0125248,249.878,1.0,0.0,0.0,5
2.16652,3.19475,12.4092,200.0,48.8017,13.7883,9.51235,0.631259,0.0103634,170.537,-0.00103779,257.422,1.0,0.0,0.0,5
2.24998,3.31782,12.8873,200.0,48.3766,13.6682,9.42952,0.617054,0.010364,172.13,-4.88117E-4,265.037,1.0,0.0,0.0,5
2.33344,3.4409,13.3654,200.0,47.9513,13.5481,9.34669,0.60285,0.0103652,173.72,-3.8947E-4,272.723,1.0,0.0,0.0,5
2.4169,3.56397,13.8435,200.0,47.5261,13.428,9.26385,0.588645,0.0103662,175.309,-3.88257E-4,280.479,1.0,0.0,0.0,5
2.50036,3.68704,14.3216,200.0,47.1009,13.308,9.18102,0.574441,0.0103672,176.895,-3.87586E-4,288.306,1.0,0.0,0.0,5
2.58382,3.81011,14.7998,200.0,46.6757,13.1879,9.09818,0.560236,0.0103682,178.48,-3.86756E-4,296.203,1.0,0.0,0.0,5
2.66728,3.93319,15.2779,198.159,46.2505,13.0678,9.01535,0.546032,0.0103692,180.063,-3.83753E-4,304.171,1.0,0.0,0.0,5
2.76104,4.07145,15.815,190.291,45.7729,12.9329,8.92229,0.530074,0.0103702,181.644,-3.83646E-4,312.209,1.0,0.0,0.0,5
2.85493,4.20991,16.3529,182.328,45.3301,12.7978,8.8291,0.514094,0.0103712,183.218,-3.74805E-4,320.317,1.0,0.0,0.0,5
2.94882,4.34837,16.8908,174.279,45.0628,12.6627,8.73592,0.498113,0.0103722,184.787,-3.6843E-4,328.495,1.0,0.0,0.0,5
3.04271,4.48682,17.4288,166.106,45.0001,12.5277,8.64273,0.482133,0.0103732,186.35,-3.61511E-4,336.742,1.0,0.0,0.0,5
3.13661,4.62528,17.9538,157.864,45.1562,12.3926,8.54954,0.466153,0.0103741,187.908,-3.51742E-4,345.059,1.0,0.0,0.0,5
3.2305,4.76374,18.2826,149.51,45.5559,12.2607,8.45635,0.450173,0.0103751,189.461,-3.41562E-4,353.445,1.0,0.0,0.0,5
3.32166,4.88844,18.3691,141.058,46.2196,12.1751,8.36942,0.434371,0.00932189,191.006,-2.98945E-4,361.897,1.0,0.0,0.0,5
3.37842,4.95228,18.2297,132.515,47.179,12.1516,8.32119,0.423695,0.00462646,192.558,-2.17625E-4,370.41,1.0,0.0,0.0,5
3.39237,4.95345,17.8804,123.884,48.4594,12.1903,8.3156,0.420344,-4.09409E-5,194.124,-9.07777E-5,378.993,1.0,0.0,0.0,5
3.36292,4.89203,17.3299,115.149,50.0973,12.2938,8.35364,0.424405,-0.00467964,195.693,-6.9127E-5,387.645,1.0,0.0,0.0,5
3.28967,4.76783,16.5931,106.315,52.133,12.4634,8.43635,0.436013,-0.00928849,197.264,-9.01338E-5,396.366,1.0,0.0,-0.30000001192092896,5
3.32898,4.96229,20.0487,200.0,42.1852,11.9786,8.33754,0.436368,0.0243435,198.615,2.81257,405.152,1.0,0.0,0.0,5
3.46646,5.14136,20.1796,200.0,42.7683,11.8516,8.21083,0.411776,0.0185408,200.19,0.344523,414.004,1.0,0.0,0.0,5
3.60144,5.31665,20.3295,200.0,43.2854,11.7221,8.08545,0.387562,0.0130606,200.936,-0.00821519,422.919,1.0,0.0,0.0,6
3.69519,5.43434,20.3542,200.0,43.4745,11.6395,7.99921,0.370583,0.00855062,200.701,-0.00516457,431.824,1.0,0.0,0.0,6
3.7467,5.48984,20.1706,200.0,43.4715,11.6156,7.9546,0.360773,0.0041491,201.785,-3.65343E-4,440.76,1.0,0.0,0.0,6
3.76328,5.49465,19.9482,200.0,43.2678,11.6433,7.94422,0.356889,-2.22307E-4,202.86,-6.88035E-6,449.744,1.0,0.0,0.0,6
3.73584,5.43525,19.8681,197.059,42.9207,11.713,7.97888,0.360618,-0.00455846,203.924,-2.79143E-5,458.775,1.0,0.0,0.0,6
3.68774,5.37885,19.9613,187.978,42.4299,11.745,8.02307,0.369096,-0.00382396,204.976,-2.8981E-5,467.864,1.0,0.0,0.0,6
3.66832,5.36579,20.224,178.874,41.7992,11.7329,8.03684,0.37318,-4.3859E-4,206.024,-2.98142E-5,477.004,1.0,0.0,0.0,6
3.68604,5.40649,20.7148,169.686,41.0045,11.6669,8.01416,0.370961,0.00296401,207.068,-3.44258E-5,486.191,1.0,0.0,0.0,6
3.7395,5.50009,21.4377,160.429,40.0602,11.5501,7.95573,0.36266,0.00638383,208.107,-3.13166E-5,495.425,1.0,0.0,0.0,6
3.82486,5.64287,22.3865,151.151,38.9941,11.3876,7.86637,0.348944,0.00982057,209.141,-3.24173E-5,504.704,1.0,0.0,0.0,6
3.94312,5.83414,23.5836,141.85,37.8104,11.1814,7.74487,0.329723,0.0132737,210.171,-3.30308E-5,514.028,1.0,0.0,0.0,6
4.09522,6.07748,25.0547,132.52,36.5102,10.9279,7.59045,0.304776,0.0167439,211.196,-2.6671E-5,523.397,1.0,0.0,0.0,6
4.29126,6.38733,26.8695,123.067,35.148,10.6162,7.39355,0.272461,0.0202304,212.215,-3.61014E-5,532.811,1.0,0.0,0.0,6
4.52222,6.75223,28.7649,113.591,33.7863,10.2578,7.16373,0.234375,0.023733,213.228,-3.17663E-5,542.267,1.0,0.0,0.0,6
4.66715,6.75661,23.8028,189.532,40.0978,10.4074,7.05045,0.198952,-0.0130988,213.844,-3.37183,551.766,1.0,0.0,0.0,6
4.43077,6.17135,18.1932,200.0,51.8728,11.3517,7.36245,0.227562,-0.0611598,214.426,-4.89472,560.688,1.0,0.0,0.0,6
3.97291,5.56001,16.8083,200.0,49.4708,12.0006,7.82783,0.308681,-0.0549041,215.406,-0.386275,569.872,1.0,0.0,0.0,6
3.4545,4.84015,15.2474,200.0,48.7989,12.7191,8.36401,0.399094,-0.0537739,216.36,0.0128759,579.094,1.0,0.0,0.0,6
2.98994,4.24281,14.1911,200.0,48.4251,13.1749,8.80191,0.482133,-0.0408752,217.308,0.0033923,588.391,1.0,0.0,0.0,6
2.69281,3.87466,13.9031,200.0,48.0511,13.3564,9.0596,0.536321,-0.0230509,218.249,-2.80334E-5,597.753,1.0,0.0,0.0,6
2.57098,3.75372,14.2956,200.0,47.6655,13.2959,9.13811,0.560059,-0.00512724,219.183,-9.98004E-5,607.162,1.0,0.0,0.0,6
2.61497,3.84623,14.7252,200.0,47.2701,13.1856,9.07407,0.554428,0.00732979,220.111,2.84176E-5,616.597,1.0,0.0,0.0,6
2.69216,3.95977,15.1599,200.0,46.8702,13.074,8.99729,0.541274,0.0073293,221.043,1.15715E-4,626.033,1.0,0.0,0.0,6
2.76217,4.06274,15.554,200.0,46.5076,12.9729,8.92765,0.529346,0.00732889,221.977,2.4275E-5,635.508,1.0,0.0,0.0,6
2.83406,4.16848,15.9589,200.0,46.135,12.8689,8.85614,0.517096,0.00732919,222.915,1.7044E-5,645.025,1.0,0.0,0.0,6
2.90786,4.27703,16.3745,200.0,45.7526,12.7623,8.78273,0.504521,0.00732908,223.85,1.44669E-4,654.581,1.0,0.0,0.0,6
2.98346,4.38821,16.8001,200.0,45.3611,12.653,8.70755,0.49164,0.00732818,224.78,1.873E-4,664.176,1.0,0.0,0.0,6
